id,question_type,response_text,overall_score,fluency_score,pronunciation_score,content_score,vocabulary_score,grammar_score
benchmark-ra-001,read_aloud,"Climate change represents one of the most significant challenges facing humanity today. Rising global temperatures have led to unprecedented weather patterns, melting ice caps, and rising sea levels. Scientists worldwide are working tirelessly to develop sustainable solutions.",88,90,88,100,85,90
benchmark-ra-002,read_aloud,"The advancement of artificial intelligence has transformed numerous industries, from healthcare to transportation. Machine learning algorithms now power everything from medical diagnoses to autonomous vehicles, revolutionizing how we live and work.",89,92,88,100,88,90
benchmark-ra-003,read_aloud,"Educational systems around the world are undergoing significant reforms to better prepare students for the twenty-first century workforce. Critical thinking, creativity, and digital literacy have become essential skills for success in the modern economy.",87,88,86,100,85,88
benchmark-ra-004,read_aloud,"The global economy has become increasingly interconnected through international trade and digital commerce. Businesses of all sizes can now reach customers worldwide, creating new opportunities for growth and innovation across borders.",88,90,87,100,86,89
benchmark-ra-005,read_aloud,"Renewable energy sources such as solar and wind power are becoming increasingly cost-effective alternatives to fossil fuels. Many countries have set ambitious targets for transitioning to clean energy within the next few decades.",86,87,85,100,84,88
benchmark-ra-006,read_aloud,"The human brain remains one of the most complex and fascinating subjects of scientific study. Neuroscientists continue to make groundbreaking discoveries about how our minds process information, form memories, and control behavior.",89,91,89,100,88,90
benchmark-ra-007,read_aloud,"Urban planning in the twenty-first century must balance economic development with environmental sustainability. Cities around the world are implementing green infrastructure projects to reduce pollution and improve quality of life for residents.",87,88,86,100,86,88
benchmark-ra-008,read_aloud,"Medical research has made remarkable progress in recent years, leading to new treatments for previously incurable diseases. Gene therapy and personalized medicine are opening new frontiers in healthcare that were once thought impossible.",88,89,87,100,87,89
benchmark-ra-009,read_aloud,"The preservation of biodiversity is essential for maintaining healthy ecosystems and ensuring food security for future generations. Conservation efforts worldwide are working to protect endangered species and their natural habitats.",86,87,85,100,85,87
benchmark-ra-010,read_aloud,"Digital transformation has fundamentally changed the way organizations operate and compete in the marketplace. Companies that successfully adopt new technologies gain significant advantages in efficiency, customer engagement, and innovation.",88,90,87,100,87,89
benchmark-rs-001,repeat_sentence,"The university library will be closed for renovations during the summer break.",90,92,90,100,88,90
benchmark-rs-002,repeat_sentence,"Students should submit their assignments before the deadline to avoid penalties.",89,90,89,100,87,90
benchmark-rs-003,repeat_sentence,"The conference will feature presentations from leading experts in artificial intelligence.",88,89,88,100,86,89
benchmark-rs-004,repeat_sentence,"Effective communication skills are essential for success in the modern workplace.",87,88,87,100,85,88
benchmark-rs-005,repeat_sentence,"The research findings suggest a strong correlation between exercise and mental health.",89,90,89,100,88,90
benchmark-rs-006,repeat_sentence,"Climate scientists have observed significant changes in global temperature patterns.",88,89,88,100,87,89
benchmark-rs-007,repeat_sentence,"The government has announced new measures to support small businesses during the economic recovery.",86,87,86,100,85,87
benchmark-rs-008,repeat_sentence,"International cooperation is necessary to address the challenges of global warming.",88,89,88,100,87,89
benchmark-rs-009,repeat_sentence,"The museum exhibits artifacts from ancient civilizations around the world.",87,88,87,100,86,88
benchmark-rs-010,repeat_sentence,"Technological innovation continues to transform the healthcare industry in remarkable ways.",89,90,89,100,88,90
benchmark-di-001,describe_image,"This bar chart illustrates the annual sales figures for five different product categories over a three-year period from 2020 to 2022. Electronics showed the highest growth, increasing from two million to three point five million dollars. Clothing and home goods remained relatively stable, while food and beverages experienced a moderate decline. The overall trend suggests a shift in consumer preferences toward technology products.",88,89,87,90,87,89
benchmark-di-002,describe_image,"The line graph presents the population growth of three major cities: Tokyo, New York, and London between 1950 and 2020. Tokyo experienced the most dramatic increase, growing from approximately eight million to nearly fourteen million inhabitants. New York showed steady growth initially but plateaued after 1990. London demonstrated the slowest growth rate, maintaining a population of around nine million throughout the period.",89,90,88,92,88,90
benchmark-di-003,describe_image,"This pie chart displays the distribution of energy sources used for electricity generation in a developed country. Renewable sources account for approximately forty percent of total generation, with solar and wind comprising the largest shares at fifteen percent each. Natural gas represents thirty percent, while coal has declined to just twenty percent. Nuclear energy contributes the remaining ten percent.",87,88,86,89,86,88
benchmark-di-004,describe_image,"The diagram shows the water cycle, illustrating how water moves through the environment. The process begins with evaporation from oceans and lakes, where water transforms into vapor. This vapor rises and condenses into clouds through the process of condensation. Precipitation then returns water to the surface as rain or snow, completing the cycle through collection in bodies of water.",88,89,87,91,87,89
benchmark-di-005,describe_image,"This table compares the specifications of three smartphone models. Model A offers the largest screen at six point seven inches but has the shortest battery life of twelve hours. Model B provides a balanced combination of features with a six point two inch screen and eighteen hours of battery life. Model C prioritizes portability with the smallest form factor but maintains competitive camera capabilities.",86,87,85,88,85,87
benchmark-rl-001,retell_lecture,"The lecture discussed the impact of social media on modern communication. The speaker explained how platforms like Twitter and Facebook have revolutionized information sharing, enabling instant global connectivity. However, concerns were raised about misinformation and its effects on public discourse. The professor emphasized the need for digital literacy education to help users critically evaluate online content.",88,89,87,90,87,89
benchmark-rl-002,retell_lecture,"The presentation covered the history of renewable energy development. The speaker traced the evolution from early hydroelectric power in the nineteenth century to modern solar and wind technologies. Key milestones included the oil crisis of the 1970s, which sparked interest in alternative energy sources. The lecture concluded by discussing current innovations in battery storage and grid integration.",87,88,86,89,86,88
benchmark-rl-003,retell_lecture,"The lecture examined the psychological effects of remote work arrangements. Research findings indicated that while employees appreciate flexibility, many experience feelings of isolation and difficulty separating work from personal life. The speaker suggested strategies for maintaining work-life balance, including establishing dedicated workspaces and regular communication with colleagues to foster team cohesion.",89,90,88,91,88,90
benchmark-rl-004,retell_lecture,"The speaker discussed urbanization trends in developing countries and their environmental implications. Rapid population growth in cities has led to increased pollution, traffic congestion, and strain on infrastructure. The lecture highlighted successful case studies from Singapore and Copenhagen, where innovative urban planning has created more sustainable and livable cities despite dense populations.",86,87,85,88,85,87
benchmark-rl-005,retell_lecture,"The presentation focused on advances in medical imaging technology. The speaker explained how MRI and CT scanning have transformed diagnostic capabilities, enabling doctors to detect diseases at earlier stages. Recent developments in artificial intelligence are now helping radiologists analyze images more accurately and efficiently. The lecture also addressed privacy concerns related to storing sensitive medical data.",88,89,87,90,87,89
benchmark-asq-001,answer_short_question,"The capital of Australia is Canberra.",90,92,90,100,88,90
benchmark-asq-002,answer_short_question,"A person who studies history is called a historian.",89,90,89,100,87,90
benchmark-asq-003,answer_short_question,"Water freezes at zero degrees Celsius.",90,91,90,100,88,90
benchmark-asq-004,answer_short_question,"The process by which plants convert sunlight into energy is called photosynthesis.",88,89,88,100,87,89
benchmark-asq-005,answer_short_question,"A triangle with three equal sides is called an equilateral triangle.",89,90,89,100,88,90
