id,question_type,response_text,overall_score,fluency_score,pronunciation_score,content_score,vocabulary_score,grammar_score
benchmark-ra-001,read_aloud,"Climate change represents one of the most significant challenges facing humanity today. Rising global temperatures have led to unprecedented weather patterns, melting ice caps, and rising sea levels. Scientists worldwide are working tirelessly to develop sustainable solutions.",88,90,88,100,85,90
benchmark-ra-002,read_aloud,"The advancement of artificial intelligence has transformed numerous industries, from healthcare to transportation. Machine learning algorithms now power everything from medical diagnoses to autonomous vehicles, revolutionizing how we live and work.",89,92,88,100,88,90
benchmark-ra-003,read_aloud,"Educational systems around the world are undergoing significant reforms to better prepare students for the twenty-first century workforce. Critical thinking, creativity, and digital literacy have become essential skills for success in the modern economy.",87,88,86,100,85,88
benchmark-ra-004,read_aloud,"The global economy has become increasingly interconnected through international trade and digital commerce. Businesses of all sizes can now reach customers worldwide, creating new opportunities for growth and innovation across borders.",88,90,87,100,86,89
benchmark-ra-005,read_aloud,Renewable energy sources such as solar and wind power are becoming increasingly cost-effective alternatives to fossil fuels. Many countries have set ambitious targets for transitioning to clean energy within the next few decades.,86,87,85,100,84,88
benchmark-ra-006,read_aloud,"The human brain remains one of the most complex and fascinating subjects of scientific study. Neuroscientists continue to make groundbreaking discoveries about how our minds process information, form memories, and control behavior.",89,91,89,100,88,90
benchmark-ra-007,read_aloud,Urban planning in the twenty-first century must balance economic development with environmental sustainability. Cities around the world are implementing green infrastructure projects to reduce pollution and improve quality of life for residents.,87,88,86,100,86,88
benchmark-ra-008,read_aloud,"Medical research has made remarkable progress in recent years, leading to new treatments for previously incurable diseases. Gene therapy and personalized medicine are opening new frontiers in healthcare that were once thought impossible.",88,89,87,100,87,89
benchmark-ra-009,read_aloud,The preservation of biodiversity is essential for maintaining healthy ecosystems and ensuring food security for future generations. Conservation efforts worldwide are working to protect endangered species and their natural habitats.,86,87,85,100,85,87
benchmark-ra-010,read_aloud,"Digital transformation has fundamentally changed the way organizations operate and compete in the marketplace. Companies that successfully adopt new technologies gain significant advantages in efficiency, customer engagement, and innovation.",88,90,87,100,87,89
benchmark-rs-001,repeat_sentence,The university library will be closed for renovations during the summer break.,90,92,90,100,88,90
benchmark-rs-002,repeat_sentence,Students should submit their assignments before the deadline to avoid penalties.,89,90,89,100,87,90
benchmark-rs-003,repeat_sentence,The conference will feature presentations from leading experts in artificial intelligence.,88,89,88,100,86,89
benchmark-rs-004,repeat_sentence,Effective communication skills are essential for success in the modern workplace.,87,88,87,100,85,88
benchmark-rs-005,repeat_sentence,The research findings suggest a strong correlation between exercise and mental health.,89,90,89,100,88,90
benchmark-rs-006,repeat_sentence,Climate scientists have observed significant changes in global temperature patterns.,88,89,88,100,87,89
benchmark-rs-007,repeat_sentence,The government has announced new measures to support small businesses during the economic recovery.,86,87,86,100,85,87
benchmark-rs-008,repeat_sentence,International cooperation is necessary to address the challenges of global warming.,88,89,88,100,87,89
benchmark-rs-009,repeat_sentence,The museum exhibits artifacts from ancient civilizations around the world.,87,88,87,100,86,88
benchmark-rs-010,repeat_sentence,Technological innovation continues to transform the healthcare industry in remarkable ways.,89,90,89,100,88,90
benchmark-di-001,describe_image,"This bar chart illustrates the annual sales figures for five different product categories over a three-year period from 2020 to 2022. Electronics showed the highest growth, increasing from two million to three point five million dollars. Clothing and home goods remained relatively stable, while food and beverages experienced a moderate decline. The overall trend suggests a shift in consumer preferences toward technology products.",88,89,87,90,87,89
benchmark-di-002,describe_image,"The line graph presents the population growth of three major cities: Tokyo, New York, and London between 1950 and 2020. Tokyo experienced the most dramatic increase, growing from approximately eight million to nearly fourteen million inhabitants. New York showed steady growth initially but plateaued after 1990. London demonstrated the slowest growth rate, maintaining a population of around nine million throughout the period.",89,90,88,92,88,90
benchmark-di-003,describe_image,"This pie chart displays the distribution of energy sources used for electricity generation in a developed country. Renewable sources account for approximately forty percent of total generation, with solar and wind comprising the largest shares at fifteen percent each. Natural gas represents thirty percent, while coal has declined to just twenty percent. Nuclear energy contributes the remaining ten percent.",87,88,86,89,86,88
benchmark-di-004,describe_image,"The diagram shows the water cycle, illustrating how water moves through the environment. The process begins with evaporation from oceans and lakes, where water transforms into vapor. This vapor rises and condenses into clouds through the process of condensation. Precipitation then returns water to the surface as rain or snow, completing the cycle through collection in bodies of water.",88,89,87,91,87,89
benchmark-di-005,describe_image,This table compares the specifications of three smartphone models. Model A offers the largest screen at six point seven inches but has the shortest battery life of twelve hours. Model B provides a balanced combination of features with a six point two inch screen and eighteen hours of battery life. Model C prioritizes portability with the smallest form factor but maintains competitive camera capabilities.,86,87,85,88,85,87
benchmark-di-006,describe_image,The flowchart demonstrates the recruitment process at a large corporation. The process initiates with job posting and application collection. Candidates then undergo initial screening followed by phone interviews. Successful applicants proceed to in-person interviews with the hiring manager and team. Final decisions involve background checks and reference verification before extending job offers.,87,88,86,89,86,88
benchmark-di-007,describe_image,"This scatter plot reveals the relationship between hours of study and exam scores among university students. There is a clear positive correlation, with students who studied more hours generally achieving higher scores. The majority of data points cluster between twenty and forty study hours, corresponding to scores ranging from sixty to ninety percent. A few outliers suggest other factors may also influence academic performance.",89,90,88,91,88,90
benchmark-di-008,describe_image,"The map illustrates the proposed layout for a new shopping center development. The main building is positioned centrally with parking areas on the north and south sides. Green spaces surround the perimeter, providing pedestrian walkways and outdoor seating areas. The entrance road connects to the highway via a roundabout, designed to manage traffic flow efficiently during peak shopping hours.",86,87,85,88,85,87
benchmark-di-009,describe_image,"This histogram displays the distribution of ages among participants in a marathon event. The largest group consists of runners aged thirty to forty, representing approximately thirty-five percent of participants. The twenty to thirty age bracket comprises the second largest group at twenty-eight percent. Participation decreases significantly among those over fifty, accounting for only fifteen percent of total runners.",88,89,87,90,87,89
benchmark-di-010,describe_image,"The organizational chart depicts the structure of a multinational company. The CEO sits at the top, with three executive vice presidents reporting directly. Each vice president oversees multiple departments including finance, marketing, operations, and human resources. Regional managers in Europe, Asia, and the Americas report to their respective operational vice presidents, creating a hierarchical management system.",87,88,86,89,86,88
benchmark-rl-001,retell_lecture,"The lecture discussed the impact of social media on modern communication. The speaker explained how platforms like Twitter and Facebook have revolutionized information sharing, enabling instant global connectivity. However, concerns were raised about misinformation and its effects on public discourse. The professor emphasized the need for digital literacy education to help users critically evaluate online content.",88,89,87,90,87,89
benchmark-rl-002,retell_lecture,"The presentation covered the history of renewable energy development. The speaker traced the evolution from early hydroelectric power in the nineteenth century to modern solar and wind technologies. Key milestones included the oil crisis of the 1970s, which sparked interest in alternative energy sources. The lecture concluded by discussing current innovations in battery storage and grid integration.",87,88,86,89,86,88
benchmark-rl-003,retell_lecture,"The lecture examined the psychological effects of remote work arrangements. Research findings indicated that while employees appreciate flexibility, many experience feelings of isolation and difficulty separating work from personal life. The speaker suggested strategies for maintaining work-life balance, including establishing dedicated workspaces and regular communication with colleagues to foster team cohesion.",89,90,88,91,88,90
benchmark-rl-004,retell_lecture,"The speaker discussed urbanization trends in developing countries and their environmental implications. Rapid population growth in cities has led to increased pollution, traffic congestion, and strain on infrastructure. The lecture highlighted successful case studies from Singapore and Copenhagen, where innovative urban planning has created more sustainable and livable cities despite dense populations.",86,87,85,88,85,87
benchmark-rl-005,retell_lecture,"The presentation focused on advances in medical imaging technology. The speaker explained how MRI and CT scanning have transformed diagnostic capabilities, enabling doctors to detect diseases at earlier stages. Recent developments in artificial intelligence are now helping radiologists analyze images more accurately and efficiently. The lecture also addressed privacy concerns related to storing sensitive medical data.",88,89,87,90,87,89
benchmark-rl-006,retell_lecture,"The lecture analyzed the economic impact of international tourism on developing nations. The speaker presented data showing tourism accounts for significant GDP contributions in many countries. However, concerns were raised about overdependence on this sector and environmental degradation of popular destinations. Sustainable tourism practices were proposed as solutions to balance economic benefits with preservation.",87,88,86,89,86,88
benchmark-rl-007,retell_lecture,"The speaker explored the relationship between sleep quality and cognitive performance. Research demonstrates that inadequate sleep impairs memory consolidation, decision-making, and emotional regulation. The lecture described various sleep disorders and their prevalence in modern society. Recommendations included maintaining consistent sleep schedules and limiting screen exposure before bedtime.",88,89,87,90,87,89
benchmark-rl-008,retell_lecture,"The presentation examined the evolution of language learning methodologies. Traditional grammar-translation approaches have given way to communicative language teaching, emphasizing practical usage over memorization. The speaker discussed how technology has created new opportunities through language learning apps and online conversation partners. Immersive methods were highlighted as particularly effective for achieving fluency.",86,87,85,88,85,87
benchmark-rl-009,retell_lecture,"The lecture covered the challenges facing global food security in the twenty-first century. Population growth and climate change are threatening agricultural productivity in many regions. The speaker discussed innovative solutions including vertical farming, drought-resistant crops, and reducing food waste in supply chains. International cooperation was emphasized as essential for addressing these complex challenges.",89,90,88,91,88,90
benchmark-rl-010,retell_lecture,"The speaker discussed the democratization of higher education through online learning platforms. Massive open online courses have made quality education accessible to millions worldwide. The lecture examined both benefits, such as affordability and flexibility, and limitations, including completion rates and credential recognition. The future may see hybrid models combining online and traditional classroom instruction.",87,88,86,89,86,88
benchmark-asq-001,answer_short_question,The capital of Australia is Canberra.,90,92,90,100,88,90
benchmark-asq-002,answer_short_question,A person who studies history is called a historian.,89,90,89,100,88,90
benchmark-asq-003,answer_short_question,Water freezes at zero degrees Celsius.,90,91,90,100,88,90
benchmark-asq-004,answer_short_question,The process by which plants convert sunlight into energy is called photosynthesis.,88,89,88,100,87,89
benchmark-asq-005,answer_short_question,A triangle with three equal sides is called an equilateral triangle.,89,90,89,100,88,90
benchmark-asq-006,answer_short_question,The device used to measure atmospheric pressure is called a barometer.,88,89,88,100,87,89
benchmark-asq-007,answer_short_question,A group of lions is commonly referred to as a pride.,90,91,90,100,89,90
benchmark-asq-008,answer_short_question,The largest planet in our solar system is Jupiter.,90,91,90,100,88,90
benchmark-asq-009,answer_short_question,A doctor who specializes in treating children is called a pediatrician.,88,89,88,100,87,89
benchmark-asq-010,answer_short_question,The currency used in Japan is the Japanese yen.,89,90,89,100,88,90
benchmark-swt-001,summarize_written_text,"Climate change poses significant threats to global ecosystems and human societies through rising temperatures, extreme weather events, and sea level rise, requiring immediate international cooperation to implement sustainable solutions and reduce greenhouse gas emissions.",88,89,,90,87,89
benchmark-swt-002,summarize_written_text,"Artificial intelligence is transforming industries worldwide by automating routine tasks, enhancing decision-making through data analysis, and creating new opportunities for innovation, though ethical concerns about privacy and job displacement must be addressed through thoughtful regulation.",89,90,,91,88,90
benchmark-swt-003,summarize_written_text,"The global shift toward remote work has fundamentally altered workplace dynamics, offering benefits such as flexibility and reduced commuting while presenting challenges including isolation, blurred work-life boundaries, and the need for new management approaches to maintain productivity and team cohesion.",87,88,,89,86,88
benchmark-swt-004,summarize_written_text,"Renewable energy sources are becoming increasingly competitive with fossil fuels due to technological advances that have reduced costs, government incentives promoting clean energy adoption, and growing public awareness of environmental sustainability, positioning them as viable solutions for meeting future energy demands.",88,89,,90,87,89
benchmark-swt-005,summarize_written_text,"Modern healthcare systems face unprecedented challenges from aging populations, rising chronic disease rates, and escalating costs, necessitating innovative approaches such as preventive care, digital health technologies, and reformed payment models to ensure sustainable and equitable access to quality medical services.",86,87,,88,85,87
benchmark-swt-006,summarize_written_text,"Urbanization continues to accelerate globally as populations migrate to cities seeking economic opportunities and improved services, creating both opportunities for sustainable development through efficient infrastructure and challenges related to housing affordability, environmental degradation, and social inequality.",88,89,,90,87,89
benchmark-swt-007,summarize_written_text,"Educational reform efforts worldwide emphasize developing critical thinking, creativity, and digital literacy skills rather than rote memorization, preparing students for rapidly evolving job markets where adaptability and lifelong learning have become essential for career success.",87,88,,89,86,88
benchmark-swt-008,summarize_written_text,"Social media platforms have revolutionized communication and information sharing by enabling instant global connectivity, though concerns about misinformation, privacy violations, and mental health impacts have prompted calls for stronger regulation and improved digital literacy education.",89,90,,91,88,90
benchmark-swt-009,summarize_written_text,"Global food security faces mounting pressure from population growth, climate change, and resource depletion, requiring innovative agricultural technologies, sustainable farming practices, and international cooperation to ensure adequate nutrition for future generations while minimizing environmental impact.",86,87,,88,85,87
benchmark-swt-010,summarize_written_text,"Biodiversity conservation is essential for maintaining ecosystem health, providing natural resources, and supporting human well-being, yet habitat destruction, pollution, and climate change threaten countless species, demanding urgent protective measures and sustainable development practices.",88,89,,90,87,89
benchmark-we-001,write_essay,"The debate over whether technology improves or diminishes human connection remains contentious. While digital communication tools enable us to maintain relationships across vast distances, critics argue they promote superficial interactions at the expense of meaningful face-to-face engagement.

On one hand, technology has undeniably expanded our ability to connect. Video calls allow grandparents to watch their grandchildren grow up from thousands of miles away. Social media platforms help us rediscover old friends and maintain professional networks. For many, these digital connections supplement rather than replace in-person relationships.

However, legitimate concerns exist about technology overuse. Studies suggest excessive screen time correlates with increased loneliness and anxiety, particularly among young people. The constant availability of digital entertainment may reduce motivation for social activities requiring more effort.

Ultimately, technology is a tool whose impact depends on how we use it. Conscious efforts to balance online and offline interactions can help us harness the benefits while mitigating potential drawbacks. The key lies in using technology to enhance rather than substitute for genuine human connection.",88,89,,90,87,89
benchmark-we-002,write_essay,"Environmental protection and economic development are often portrayed as competing priorities, yet this dichotomy oversimplifies a complex relationship. Sustainable development demonstrates that these goals can be mutually reinforcing when pursued thoughtfully.

Historically, rapid industrialization occurred at significant environmental cost. Pollution, deforestation, and resource depletion accompanied economic growth in many nations. However, this pattern need not continue. Renewable energy technologies now compete economically with fossil fuels while reducing emissions. Green industries create jobs and drive innovation.

Moreover, environmental degradation imposes substantial economic costs. Climate change damages infrastructure, reduces agricultural productivity, and increases healthcare expenses. Investments in environmental protection can prevent these losses while improving quality of life.

Governments play a crucial role in aligning economic incentives with environmental objectives. Carbon pricing, subsidies for clean technology, and regulations against pollution help redirect market forces toward sustainable outcomes. International cooperation ensures that environmental standards do not disadvantage particular nations economically.

In conclusion, the choice between environmental protection and economic prosperity is a false one. With appropriate policies and technologies, societies can achieve both objectives simultaneously.",89,90,,91,88,90
benchmark-we-003,write_essay,"Higher education has traditionally been viewed as essential for career success, but rising costs and changing job markets have prompted questions about its value. While degrees remain important for many professions, alternative pathways to employment deserve consideration.

Universities offer several undeniable advantages. Beyond specialized knowledge, students develop critical thinking skills, establish professional networks, and gain credentials recognized by employers. Research suggests college graduates earn significantly more over their lifetimes than those without degrees.

Nevertheless, the higher education landscape is evolving. Mounting student debt burdens many graduates, while some employers increasingly value demonstrable skills over formal qualifications. Technology companies, for instance, have begun hiring based on coding ability regardless of educational background.

Vocational training, apprenticeships, and online courses provide viable alternatives for certain careers. These options often require less time and money while leading to well-paying jobs in high-demand fields. The key is matching educational choices to career goals.

Rather than declaring university education universally necessary or obsolete, we should recognize that different paths suit different individuals. The best choice depends on career aspirations, financial circumstances, and personal learning preferences.",87,88,,89,86,88
benchmark-we-004,write_essay,"The appropriate level of government regulation in the economy remains a perennial debate. While excessive intervention can stifle innovation and efficiency, unfettered markets may produce inequitable outcomes and external costs. Finding the right balance is essential for sustainable prosperity.

Market economies excel at allocating resources efficiently through price signals and competition. Entrepreneurs innovate to meet consumer needs, creating products and services that improve living standards. Government interference with these natural market forces can distort incentives and reduce overall welfare.

However, markets sometimes fail to account for broader social costs. Pollution harms third parties not involved in economic transactions. Information asymmetries enable exploitation of consumers. Natural monopolies may charge excessive prices without regulatory oversight.

Effective regulation addresses these market failures while preserving economic dynamism. Environmental standards protect public health. Consumer protection laws ensure fair dealing. Antitrust enforcement maintains competitive markets. The challenge lies in designing regulations that achieve their objectives without creating unintended consequences.

Ultimately, the question is not whether government should regulate, but how. Evidence-based policies that address genuine market failures while minimizing compliance costs represent the optimal approach.",88,89,,90,87,89
benchmark-we-005,write_essay,"Immigration policies spark intense debate in many countries, with proponents emphasizing economic benefits and cultural enrichment while critics raise concerns about job competition and social cohesion. A balanced assessment requires examining evidence from multiple perspectives.

Economically, immigrants contribute significantly to host countries. They fill labor shortages, start businesses, and pay taxes that support public services. High-skilled immigration in particular drives innovation and enhances competitiveness. Studies consistently show positive fiscal impacts from immigration overall.

Cultural diversity brought by immigrants enriches societies through cuisine, arts, and varied perspectives. Exposure to different backgrounds fosters creativity and prepares citizens for an interconnected world. Many nations proudly celebrate their immigrant heritage.

However, rapid demographic changes can create challenges. Some communities experience strain on public services and housing. Cultural differences may initially create friction. Economic benefits are not always distributed evenly, with low-skilled workers potentially facing increased competition.

Thoughtful immigration policies can maximize benefits while addressing legitimate concerns. Integration programs help newcomers adapt and contribute. Controlled immigration levels prevent overwhelming receiving communities. Enforcement against illegal immigration maintains system integrity.

In conclusion, immigration offers substantial advantages when managed effectively, requiring policies that balance openness with orderly processes.",86,87,,88,85,87
benchmark-we-006,write_essay,"The rise of artificial intelligence raises profound questions about the future of work. While automation threatens certain occupations, history suggests technology ultimately creates more opportunities than it eliminates. Navigating this transition requires foresight and adaptation.

AI excels at tasks involving pattern recognition and data processing. Jobs involving routine cognitive work face significant automation risk. Financial analysts, radiologists, and legal researchers may find their roles transformed as algorithms perform core functions more efficiently.

Yet technological progress has consistently generated new employment throughout history. The agricultural revolution displaced farm workers who found jobs in manufacturing. Automation later reduced factory employment while creating service sector opportunities. Similar adaptation will likely accompany AI advancement.

The key challenge lies in managing the transition. Workers displaced by automation need support for retraining and career changes. Education systems must prepare students for jobs requiring creativity, emotional intelligence, and complex problem-solving that machines cannot easily replicate.

Governments and businesses share responsibility for this adaptation. Policies promoting lifelong learning, flexible labor markets, and social safety nets can ease the adjustment. Forward-thinking companies invest in employee development rather than simply replacing workers.

Ultimately, AI represents a tool that humans can deploy to enhance productivity and quality of life, provided we manage its implementation thoughtfully.",89,90,,91,88,90
benchmark-we-007,write_essay,"The preservation of cultural heritage faces mounting challenges in an era of globalization and rapid change. While modernization brings undeniable benefits, losing traditional knowledge and practices impoverishes humanity. Balancing progress with preservation deserves careful consideration.

Cultural heritage encompasses tangible artifacts like historical buildings and intangible traditions including languages, crafts, and performing arts. These elements connect communities to their history and identity. They provide continuity amid change and diversity in an increasingly homogeneous world.

Globalization accelerates cultural exchange but also threatens minority traditions. Dominant cultures spread through media and commerce, potentially overwhelming local practices. Many languages face extinction as younger generations adopt more widely spoken alternatives. Traditional skills fade when economic incentives favor modern alternatives.

Protecting cultural heritage requires active effort. Documentation preserves knowledge that might otherwise be lost. Education transmits traditions to new generations. Economic support can maintain viability of traditional crafts and performances. Digital technologies offer new tools for preservation and dissemination.

However, cultures are not museum pieces to be frozen in time. Living traditions evolve naturally, incorporating new influences while retaining essential characteristics. The goal should be enabling communities to make informed choices about their cultural futures rather than imposing artificial preservation.

Ultimately, cultural diversity represents irreplaceable human wealth that enriches our collective experience and deserves thoughtful protection.",87,88,,89,86,88
benchmark-we-008,write_essay,"Urban planning significantly influences quality of life, environmental sustainability, and economic vitality. As cities continue growing, thoughtful design becomes increasingly important. Examining principles of effective urban planning can guide better policy decisions.

Well-designed cities facilitate efficient movement of people and goods. Public transportation reduces traffic congestion and emissions while providing affordable mobility. Mixed-use zoning places homes near workplaces and amenities, reducing commute times. Walkable neighborhoods promote physical activity and community interaction.

Green spaces serve multiple functions in urban environments. Parks provide recreation opportunities and improve mental health. Trees filter air pollution and reduce urban heat islands. Natural areas manage stormwater and support biodiversity even within city limits.

Housing affordability represents a persistent urban challenge. Restrictive zoning limits housing supply, driving up prices. Inclusive planning allows diverse housing types to accommodate different income levels. Thoughtful development can increase density without sacrificing livability.

Community engagement improves planning outcomes. Residents understand local needs and priorities. Transparent processes build public support for necessary changes. Participatory approaches help balance competing interests and values.

In conclusion, effective urban planning requires integrating transportation, environmental, housing, and social considerations. Cities that succeed in this integration will thrive in the coming decades.",88,89,,90,87,89
benchmark-we-009,write_essay,"Mental health awareness has increased dramatically in recent years, yet stigma and inadequate resources continue hindering progress. Addressing this crisis requires comprehensive approaches spanning prevention, treatment, and social support.

Mental health conditions affect substantial portions of populations worldwide. Depression, anxiety, and substance use disorders cause tremendous suffering and economic losses through reduced productivity and healthcare costs. Despite this burden, mental healthcare remains underfunded relative to physical health services.

Stigma discourages many from seeking help. Misconceptions about mental illness lead to discrimination in employment, housing, and relationships. Public education campaigns can challenge these attitudes by normalizing discussion of mental health and highlighting successful treatment outcomes.

Early intervention improves prognoses for mental health conditions. School-based programs teaching emotional regulation and coping skills build resilience. Primary care integration enables early detection and referral. Workplace wellness initiatives address occupational stress before it escalates.

Access to quality care remains uneven. Rural areas lack specialists. Insurance coverage may be inadequate. Long wait times delay treatment. Expanding the mental health workforce and leveraging technology for remote services can help address these gaps.

In conclusion, tackling the mental health crisis requires sustained investment, reduced stigma, and systemic reform. The human and economic costs of inaction far exceed the resources needed for meaningful progress.",86,87,,88,85,87
